referencia,previsto_em,valor_previsto,intervalo_min,intervalo_max,intervalo_nivel,modelo,origem,valor_real,erro,observado_em,conferido_em
2026-06,2026-07-08,0.21,-0.05,0.47,0.95,"ARIMA(1,0,1)",,0.16,0.05,2026-07-09,2026-07-09
2026-07,2026-08-10,0.28,0.02,0.54,0.95,"ARIMA(1,0,1)",,0.07,0.21,2026-08-12,2026-08-12
